drug_row,drug_col,cell_line_name,css
AZD1775,MK-2206,A2058,78.4215
AZD1775,MK-2206,A2058,70.106
AZD1775,MK-4827,A2058,84.8965
AZD1775,MK-4827,A2058,86.834
AZD1775,MK-4827,A2058,82.5025
AZD1775,MK-4827,A2058,87.836
AZD1775,MK-5108,A2058,67.863
AZD1775,MK-5108,A2058,73.0875
AZD1775,MK-5108,A2058,68.6795
AZD1775,MK-5108,A2058,68.551
AZD1775,MK-8669,A2058,71.848
AZD1775,MK-8669,A2058,65.5975
AZD1775,MK-8669,A2058,65.0765
AZD1775,MK-8669,A2058,66.5455
AZD1775,MK-8776,A2058,89.5705
AZD1775,MK-8776,A2058,90.3925
AZD1775,MK-8776,A2058,90.977
AZD1775,MK-8776,A2058,89.405
AZD1775,OXALIPLATIN,A2058,65.398
AZD1775,OXALIPLATIN,A2058,64.0445
AZD1775,OXALIPLATIN,A2058,72.471
AZD1775,OXALIPLATIN,A2058,67.7725
AZD1775,PD325901,A2058,63.1915
AZD1775,PD325901,A2058,75.949
AZD1775,PD325901,A2058,66.3585
AZD1775,PD325901,A2058,64.176
AZD1775,SN-38,A2058,87.417
AZD1775,SN-38,A2058,87.4645
AZD1775,SN-38,A2058,81.956
AZD1775,SN-38,A2058,82.662
AZD1775,SORAFENIB,A2058,80.2415
AZD1775,SORAFENIB,A2058,77.7835
AZD1775,SORAFENIB,A2058,84.1605
AZD1775,SORAFENIB,A2058,84.5805
AZD1775,TOPOTECAN,A2058,82.302
AZD1775,TOPOTECAN,A2058,80.325
AZD1775,TOPOTECAN,A2058,81.1165
AZD1775,TOPOTECAN,A2058,78.608
BEZ-235,DINACICLIB,A2058,69.623
BEZ-235,DINACICLIB,A2058,70.154
BEZ-235,DINACICLIB,A2058,73.1335
BEZ-235,DINACICLIB,A2058,72.125
BEZ-235,MK-8776,A2058,69.9755
BEZ-235,MK-8776,A2058,65.032
BEZ-235,MK-8776,A2058,75.0235
BEZ-235,MK-8776,A2058,77.038
BEZ-235,OXALIPLATIN,A2058,62.849
BEZ-235,OXALIPLATIN,A2058,64.312
BEZ-235,OXALIPLATIN,A2058,63.8575
BEZ-235,OXALIPLATIN,A2058,64.896
BEZ-235,SN-38,A2058,63.3575
BEZ-235,SN-38,A2058,66.7205
BEZ-235,SN-38,A2058,66.1475
BEZ-235,SN-38,A2058,68.698
BEZ-235,SORAFENIB,A2058,77.6045
BEZ-235,SORAFENIB,A2058,76.8985
BEZ-235,SORAFENIB,A2058,78.815
BEZ-235,SORAFENIB,A2058,83.4545
BORTEZOMIB,ABT-888,A2058,51.7765
BORTEZOMIB,ABT-888,A2058,62.8705
BORTEZOMIB,ABT-888,A2058,55.9085
BORTEZOMIB,ABT-888,A2058,61.8025
BORTEZOMIB,BEZ-235,A2058,78.563
BORTEZOMIB,BEZ-235,A2058,89.971
BORTEZOMIB,BEZ-235,A2058,70.36
BORTEZOMIB,BEZ-235,A2058,77.394
BORTEZOMIB,DASATINIB,A2058,73.117
BORTEZOMIB,DASATINIB,A2058,56.2675
BORTEZOMIB,DASATINIB,A2058,65.8555
BORTEZOMIB,DASATINIB,A2058,58.4265
BORTEZOMIB,DINACICLIB,A2058,72.313
BORTEZOMIB,DINACICLIB,A2058,76.128
BORTEZOMIB,DINACICLIB,A2058,66.5775
BORTEZOMIB,DINACICLIB,A2058,63.1615
BORTEZOMIB,GELDANAMYCIN,A2058,82.341
BORTEZOMIB,GELDANAMYCIN,A2058,82.3245
BORTEZOMIB,GELDANAMYCIN,A2058,84.7225
BORTEZOMIB,GELDANAMYCIN,A2058,82.1005
BORTEZOMIB,MK-8669,A2058,48.388
BORTEZOMIB,MK-8669,A2058,50.735
BORTEZOMIB,MK-8669,A2058,51.897
BORTEZOMIB,MK-8669,A2058,50.2705
BORTEZOMIB,MK-8776,A2058,77.5445
BORTEZOMIB,MK-8776,A2058,75.289
BORTEZOMIB,MK-8776,A2058,67.326
BORTEZOMIB,MK-8776,A2058,66.8825
BORTEZOMIB,OXALIPLATIN,A2058,80.6375
BORTEZOMIB,OXALIPLATIN,A2058,70.442
BORTEZOMIB,OXALIPLATIN,A2058,76.9345
BORTEZOMIB,OXALIPLATIN,A2058,78.569
BORTEZOMIB,SN-38,A2058,85.323
BORTEZOMIB,SN-38,A2058,86.913
BORTEZOMIB,SN-38,A2058,87.4905
BORTEZOMIB,SN-38,A2058,78.476
BORTEZOMIB,SORAFENIB,A2058,84.765
BORTEZOMIB,SORAFENIB,A2058,92.8805
BORTEZOMIB,SORAFENIB,A2058,94.707
BORTEZOMIB,SORAFENIB,A2058,91.7905
BORTEZOMIB,TOPOTECAN,A2058,77.1865
BORTEZOMIB,TOPOTECAN,A2058,84.458
BORTEZOMIB,TOPOTECAN,A2058,73.5575
BORTEZOMIB,TOPOTECAN,A2058,91.825
CARBOPLATIN,ABT-888,A2058,35.844
CARBOPLATIN,ABT-888,A2058,31.6995
CARBOPLATIN,ABT-888,A2058,31.0665
CARBOPLATIN,ABT-888,A2058,36.292
CARBOPLATIN,AZD1775,A2058,76.248
CARBOPLATIN,AZD1775,A2058,80.722
CARBOPLATIN,AZD1775,A2058,74.372
CARBOPLATIN,AZD1775,A2058,73.992
CARBOPLATIN,BEZ-235,A2058,60.0675
CARBOPLATIN,BEZ-235,A2058,62.684
CARBOPLATIN,BEZ-235,A2058,59.7215
CARBOPLATIN,BEZ-235,A2058,62.9595
CARBOPLATIN,BORTEZOMIB,A2058,59.786
CARBOPLATIN,BORTEZOMIB,A2058,63.638
CARBOPLATIN,BORTEZOMIB,A2058,63.9445
CARBOPLATIN,BORTEZOMIB,A2058,70.3945
CARBOPLATIN,DASATINIB,A2058,44.6645
CARBOPLATIN,DASATINIB,A2058,42.0115
CARBOPLATIN,DASATINIB,A2058,31.3515
CARBOPLATIN,DASATINIB,A2058,46.497
CARBOPLATIN,DINACICLIB,A2058,69.579
CARBOPLATIN,DINACICLIB,A2058,63.626
CARBOPLATIN,DINACICLIB,A2058,65.6955
CARBOPLATIN,DINACICLIB,A2058,68.352
CARBOPLATIN,ERLOTINIB,A2058,72.0645
CARBOPLATIN,ERLOTINIB,A2058,66.7565
CARBOPLATIN,ERLOTINIB,A2058,50.3645
CARBOPLATIN,ERLOTINIB,A2058,65.8815
CARBOPLATIN,GELDANAMYCIN,A2058,80.765
CARBOPLATIN,GELDANAMYCIN,A2058,81.414
CARBOPLATIN,GELDANAMYCIN,A2058,80.511
CARBOPLATIN,GELDANAMYCIN,A2058,82.977
CARBOPLATIN,L778123,A2058,58.9405
CARBOPLATIN,L778123,A2058,65.775
CARBOPLATIN,L778123,A2058,50.2785
CARBOPLATIN,L778123,A2058,66.6085
CARBOPLATIN,LAPATINIB,A2058,49.9665
CARBOPLATIN,LAPATINIB,A2058,60.2675
CARBOPLATIN,LAPATINIB,A2058,45.982
CARBOPLATIN,LAPATINIB,A2058,45.982
CARBOPLATIN,MK-2206,A2058,75.104
CARBOPLATIN,MK-2206,A2058,54.6925
CARBOPLATIN,MK-2206,A2058,50.8255
CARBOPLATIN,MK-2206,A2058,55.617
CARBOPLATIN,MK-4827,A2058,70.1345
CARBOPLATIN,MK-4827,A2058,69.4855
CARBOPLATIN,MK-4827,A2058,68.5235
CARBOPLATIN,MK-4827,A2058,70.93
CARBOPLATIN,MK-5108,A2058,63.6185
CARBOPLATIN,MK-5108,A2058,55.3485
CARBOPLATIN,MK-5108,A2058,64.496
CARBOPLATIN,MK-5108,A2058,67.619
CARBOPLATIN,MK-8669,A2058,48.993
CARBOPLATIN,MK-8669,A2058,52.3565
CARBOPLATIN,MK-8669,A2058,40.0815
CARBOPLATIN,MK-8669,A2058,49.649
CARBOPLATIN,MK-8776,A2058,68.9425
CARBOPLATIN,MK-8776,A2058,65.74
CARBOPLATIN,MK-8776,A2058,66.645
CARBOPLATIN,MK-8776,A2058,64.146
CARBOPLATIN,PD325901,A2058,44.064
CARBOPLATIN,PD325901,A2058,40.3215
CARBOPLATIN,PD325901,A2058,44.905
CARBOPLATIN,PD325901,A2058,57.692
CARBOPLATIN,SORAFENIB,A2058,58.282
CARBOPLATIN,SORAFENIB,A2058,57.583
CARBOPLATIN,SORAFENIB,A2058,62.293
CARBOPLATIN,SORAFENIB,A2058,51.2
CARBOPLATIN,SUNITINIB,A2058,59.6285
CARBOPLATIN,SUNITINIB,A2058,58.418
CARBOPLATIN,SUNITINIB,A2058,60.719
CARBOPLATIN,SUNITINIB,A2058,56.4865
CARBOPLATIN,TEMOZOLOMIDE,A2058,54.155
CARBOPLATIN,TEMOZOLOMIDE,A2058,54.786
CARBOPLATIN,TEMOZOLOMIDE,A2058,43.005
CARBOPLATIN,TEMOZOLOMIDE,A2058,47.249
CARBOPLATIN,ZOLINZA,A2058,73.723
CARBOPLATIN,ZOLINZA,A2058,72.3165
CARBOPLATIN,ZOLINZA,A2058,73.2375
CARBOPLATIN,ZOLINZA,A2058,73.1845
CYCLOPHOSPHAMIDE,ABT-888,A2058,0.8475
CYCLOPHOSPHAMIDE,ABT-888,A2058,6.496
CYCLOPHOSPHAMIDE,ABT-888,A2058,11.5945
CYCLOPHOSPHAMIDE,ABT-888,A2058,-0.1445
CYCLOPHOSPHAMIDE,AZD1775,A2058,43.6595
CYCLOPHOSPHAMIDE,AZD1775,A2058,41.477
CYCLOPHOSPHAMIDE,AZD1775,A2058,41.023
CYCLOPHOSPHAMIDE,AZD1775,A2058,50.843
CYCLOPHOSPHAMIDE,BEZ-235,A2058,48.33
CYCLOPHOSPHAMIDE,BEZ-235,A2058,47.034
CYCLOPHOSPHAMIDE,BEZ-235,A2058,52.428
CYCLOPHOSPHAMIDE,BEZ-235,A2058,46.6225
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,59.3055
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,46.13
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,62.7515
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,64.7905
CYCLOPHOSPHAMIDE,DASATINIB,A2058,10.3755
CYCLOPHOSPHAMIDE,DASATINIB,A2058,14.477
CYCLOPHOSPHAMIDE,DASATINIB,A2058,11.2165
CYCLOPHOSPHAMIDE,DASATINIB,A2058,14.561
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,49.166
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,47.6115
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,48.557
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,47.194
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,28.3165
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,23.0105
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,31.7675
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,26.44
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,58.7685
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,61.078
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,60.834
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,57.9335
CYCLOPHOSPHAMIDE,L778123,A2058,20.8515
CYCLOPHOSPHAMIDE,L778123,A2058,22.2085
CYCLOPHOSPHAMIDE,L778123,A2058,25.648
CYCLOPHOSPHAMIDE,L778123,A2058,28.751
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,20.7135
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,17.7
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,24.274
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,19.405
CYCLOPHOSPHAMIDE,MK-2206,A2058,27.587
CYCLOPHOSPHAMIDE,MK-2206,A2058,27.1495
CYCLOPHOSPHAMIDE,MK-2206,A2058,26.224
CYCLOPHOSPHAMIDE,MK-2206,A2058,25.25
CYCLOPHOSPHAMIDE,MK-4827,A2058,53.8885
CYCLOPHOSPHAMIDE,MK-4827,A2058,46.304
CYCLOPHOSPHAMIDE,MK-4827,A2058,50.382
CYCLOPHOSPHAMIDE,MK-4827,A2058,49.013
CYCLOPHOSPHAMIDE,MK-5108,A2058,34.795
CYCLOPHOSPHAMIDE,MK-5108,A2058,40.2995
CYCLOPHOSPHAMIDE,MK-5108,A2058,40.141
CYCLOPHOSPHAMIDE,MK-5108,A2058,37.6595
CYCLOPHOSPHAMIDE,MK-8669,A2058,24.3275
CYCLOPHOSPHAMIDE,MK-8669,A2058,20.831
CYCLOPHOSPHAMIDE,MK-8669,A2058,22.252
CYCLOPHOSPHAMIDE,MK-8669,A2058,22.153
CYCLOPHOSPHAMIDE,MK-8776,A2058,22.773
CYCLOPHOSPHAMIDE,MK-8776,A2058,22.0425
CYCLOPHOSPHAMIDE,MK-8776,A2058,16.428
CYCLOPHOSPHAMIDE,MK-8776,A2058,18.5095
CYCLOPHOSPHAMIDE,PD325901,A2058,19.818
CYCLOPHOSPHAMIDE,PD325901,A2058,18.199
CYCLOPHOSPHAMIDE,PD325901,A2058,22.614
CYCLOPHOSPHAMIDE,PD325901,A2058,21.3345
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,51.088
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,59.8945
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,58.792
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,60.64
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,39.616
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,39.496
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,41.8165
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,38.0155
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,38.1545
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,36.1515
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,38.272
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,44.868
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,55.933
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,49.108
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,48.9165
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,56.0355
DASATINIB,ABT-888,A2058,15.604
DASATINIB,ABT-888,A2058,14.6265
DASATINIB,ABT-888,A2058,11.7815
DASATINIB,ABT-888,A2058,11.9735
DASATINIB,BEZ-235,A2058,59.993
DASATINIB,BEZ-235,A2058,59.85
DASATINIB,BEZ-235,A2058,61.5355
DASATINIB,BEZ-235,A2058,64.4275
DASATINIB,DINACICLIB,A2058,53.3745
DASATINIB,DINACICLIB,A2058,61.018
DASATINIB,DINACICLIB,A2058,62.739
DASATINIB,DINACICLIB,A2058,64.939
DASATINIB,GELDANAMYCIN,A2058,57.107
DASATINIB,GELDANAMYCIN,A2058,57.2275
DASATINIB,GELDANAMYCIN,A2058,51.9645
DASATINIB,GELDANAMYCIN,A2058,54.7245
DASATINIB,MK-8669,A2058,44.2205
DASATINIB,MK-8669,A2058,41.031
DASATINIB,MK-8669,A2058,48.2805
DASATINIB,MK-8669,A2058,43.552
DASATINIB,MK-8776,A2058,35.184
DASATINIB,MK-8776,A2058,40.1605
DASATINIB,MK-8776,A2058,36.3015
DASATINIB,MK-8776,A2058,39.792
DASATINIB,OXALIPLATIN,A2058,42.158
DASATINIB,OXALIPLATIN,A2058,44.4635
DASATINIB,OXALIPLATIN,A2058,40.019
DASATINIB,OXALIPLATIN,A2058,43.715
DASATINIB,SN-38,A2058,56.941
DASATINIB,SN-38,A2058,61.8425
DASATINIB,SN-38,A2058,60.839
DASATINIB,SN-38,A2058,44.0925
DASATINIB,SORAFENIB,A2058,71.305
DASATINIB,SORAFENIB,A2058,69.2865
DASATINIB,SORAFENIB,A2058,71.6215
DASATINIB,SORAFENIB,A2058,65.999
DASATINIB,TOPOTECAN,A2058,59.9655
DASATINIB,TOPOTECAN,A2058,69.5945
DASATINIB,TOPOTECAN,A2058,73.8845
DASATINIB,TOPOTECAN,A2058,58.1005
DEXAMETHASONE,ABT-888,A2058,-7.345
DEXAMETHASONE,ABT-888,A2058,-6.552
DEXAMETHASONE,ABT-888,A2058,-8.286
DEXAMETHASONE,ABT-888,A2058,-8.9545
DEXAMETHASONE,AZD1775,A2058,40.2405
DEXAMETHASONE,AZD1775,A2058,36.348
DEXAMETHASONE,AZD1775,A2058,28.831
DEXAMETHASONE,AZD1775,A2058,36.972
DEXAMETHASONE,BEZ-235,A2058,44.2275
DEXAMETHASONE,BEZ-235,A2058,54.8565
DEXAMETHASONE,BEZ-235,A2058,51.6675
DEXAMETHASONE,BEZ-235,A2058,44.5165
DEXAMETHASONE,BORTEZOMIB,A2058,54.224
DEXAMETHASONE,BORTEZOMIB,A2058,45.356
DEXAMETHASONE,BORTEZOMIB,A2058,65.667
DEXAMETHASONE,BORTEZOMIB,A2058,60.5685
DEXAMETHASONE,DASATINIB,A2058,10.197
DEXAMETHASONE,DASATINIB,A2058,8.324
DEXAMETHASONE,DASATINIB,A2058,11.286
DEXAMETHASONE,DASATINIB,A2058,9.0805
DEXAMETHASONE,DINACICLIB,A2058,35.7775
DEXAMETHASONE,DINACICLIB,A2058,41.385
DEXAMETHASONE,DINACICLIB,A2058,40.382
DEXAMETHASONE,DINACICLIB,A2058,33.385
DEXAMETHASONE,ERLOTINIB,A2058,27.375
DEXAMETHASONE,ERLOTINIB,A2058,33.371
DEXAMETHASONE,ERLOTINIB,A2058,29.2735
DEXAMETHASONE,ERLOTINIB,A2058,25.322
DEXAMETHASONE,GELDANAMYCIN,A2058,64.005
DEXAMETHASONE,GELDANAMYCIN,A2058,51.9135
DEXAMETHASONE,GELDANAMYCIN,A2058,56.607
DEXAMETHASONE,GELDANAMYCIN,A2058,62.36
DEXAMETHASONE,L778123,A2058,22.2415
DEXAMETHASONE,L778123,A2058,17.86
DEXAMETHASONE,L778123,A2058,14.6235
DEXAMETHASONE,L778123,A2058,22.4645
DEXAMETHASONE,LAPATINIB,A2058,23.9515
DEXAMETHASONE,LAPATINIB,A2058,27.0005
DEXAMETHASONE,LAPATINIB,A2058,22.4485
DEXAMETHASONE,LAPATINIB,A2058,20.0795
DEXAMETHASONE,MK-2206,A2058,27.4295
DEXAMETHASONE,MK-2206,A2058,27.42
DEXAMETHASONE,MK-2206,A2058,26.4585
DEXAMETHASONE,MK-2206,A2058,32.92
DEXAMETHASONE,MK-4827,A2058,40.9905
DEXAMETHASONE,MK-4827,A2058,39.559
DEXAMETHASONE,MK-4827,A2058,32.357
DEXAMETHASONE,MK-4827,A2058,31.047
DEXAMETHASONE,MK-5108,A2058,33.5455
DEXAMETHASONE,MK-5108,A2058,32.293
DEXAMETHASONE,MK-5108,A2058,31.5875
DEXAMETHASONE,MK-5108,A2058,37.9125
DEXAMETHASONE,MK-8669,A2058,17.9835
DEXAMETHASONE,MK-8669,A2058,19.38
DEXAMETHASONE,MK-8669,A2058,18.789
DEXAMETHASONE,MK-8669,A2058,20.2655
DEXAMETHASONE,MK-8776,A2058,14.197
DEXAMETHASONE,MK-8776,A2058,12.194
DEXAMETHASONE,MK-8776,A2058,12.692
DEXAMETHASONE,MK-8776,A2058,21.042
DEXAMETHASONE,PD325901,A2058,23.1945
DEXAMETHASONE,PD325901,A2058,27.707
DEXAMETHASONE,PD325901,A2058,26.3775
DEXAMETHASONE,PD325901,A2058,29.0115
DEXAMETHASONE,SORAFENIB,A2058,56.331
DEXAMETHASONE,SORAFENIB,A2058,61.5535
DEXAMETHASONE,SORAFENIB,A2058,55.625
DEXAMETHASONE,SORAFENIB,A2058,50.89
DEXAMETHASONE,SUNITINIB,A2058,37.7195
DEXAMETHASONE,SUNITINIB,A2058,42.9145
DEXAMETHASONE,SUNITINIB,A2058,44.5445
DEXAMETHASONE,SUNITINIB,A2058,37.646
DEXAMETHASONE,TEMOZOLOMIDE,A2058,31.984
DEXAMETHASONE,TEMOZOLOMIDE,A2058,20.8735
DEXAMETHASONE,TEMOZOLOMIDE,A2058,19.532
DEXAMETHASONE,TEMOZOLOMIDE,A2058,22.369
DEXAMETHASONE,ZOLINZA,A2058,52.6245
DEXAMETHASONE,ZOLINZA,A2058,48.5085
DEXAMETHASONE,ZOLINZA,A2058,46.06
DEXAMETHASONE,ZOLINZA,A2058,48.3655
DINACICLIB,MK-8776,A2058,50.5535
DINACICLIB,MK-8776,A2058,52.698
DINACICLIB,MK-8776,A2058,50.103
DINACICLIB,MK-8776,A2058,51.413
DOXORUBICIN,ABT-888,A2058,79.5765
DOXORUBICIN,ABT-888,A2058,77.9535
DOXORUBICIN,ABT-888,A2058,81.153
DOXORUBICIN,ABT-888,A2058,77.4895
DOXORUBICIN,AZD1775,A2058,85.7315
DOXORUBICIN,AZD1775,A2058,88.3225
DOXORUBICIN,AZD1775,A2058,88.8985
DOXORUBICIN,AZD1775,A2058,82.984
DOXORUBICIN,BEZ-235,A2058,77.777
DOXORUBICIN,BEZ-235,A2058,81.4665
DOXORUBICIN,BEZ-235,A2058,82.225
DOXORUBICIN,BEZ-235,A2058,80.399
DOXORUBICIN,BORTEZOMIB,A2058,89.2835
DOXORUBICIN,BORTEZOMIB,A2058,84.458
DOXORUBICIN,BORTEZOMIB,A2058,89.948
DOXORUBICIN,BORTEZOMIB,A2058,83.236
