drug_row,drug_col,cell_line_name,synergy_loewe
5-FU,MK-4827,A2058,0.723746255
5-FU,MK-4827,A2058,-1.059378745
5-FU,MK-5108,A2058,5.188039013
5-FU,MK-5108,A2058,-1.616023487
5-FU,MK-5108,A2058,-0.819773487
5-FU,MK-5108,A2058,-2.822773487
5-FU,MK-8669,A2058,14.67052599
5-FU,MK-8669,A2058,10.22240099
5-FU,MK-8669,A2058,12.92527599
5-FU,MK-8669,A2058,13.34621349
5-FU,MK-8776,A2058,16.24582078
5-FU,MK-8776,A2058,5.282508279
5-FU,MK-8776,A2058,7.916008279
5-FU,MK-8776,A2058,10.10275828
5-FU,PD325901,A2058,1.616169058
5-FU,PD325901,A2058,2.250606558
5-FU,PD325901,A2058,4.687169058
5-FU,PD325901,A2058,10.57029406
5-FU,SORAFENIB,A2058,-0.226222695
5-FU,SORAFENIB,A2058,12.21115231
5-FU,SORAFENIB,A2058,1.612027305
5-FU,SORAFENIB,A2058,6.484964805
5-FU,SUNITINIB,A2058,8.240213646
5-FU,SUNITINIB,A2058,17.26365115
5-FU,SUNITINIB,A2058,9.788088646
5-FU,SUNITINIB,A2058,8.587151146
5-FU,TEMOZOLOMIDE,A2058,-1.384485841
5-FU,TEMOZOLOMIDE,A2058,5.504451659
5-FU,TEMOZOLOMIDE,A2058,2.567701659
5-FU,TEMOZOLOMIDE,A2058,3.520576659
5-FU,ZOLINZA,A2058,1.120451533
5-FU,ZOLINZA,A2058,-0.389048467
5-FU,ZOLINZA,A2058,-1.190110967
5-FU,ZOLINZA,A2058,9.819076533
ABT-888,BEZ-235,A2058,-22.26456051
ABT-888,BEZ-235,A2058,-23.34637301
ABT-888,BEZ-235,A2058,-9.490748014
ABT-888,BEZ-235,A2058,-21.76474801
ABT-888,DINACICLIB,A2058,-49.46701331
ABT-888,DINACICLIB,A2058,-51.49588831
ABT-888,DINACICLIB,A2058,-54.36638831
ABT-888,DINACICLIB,A2058,-51.94201331
ABT-888,GELDANAMYCIN,A2058,-22.8633946
ABT-888,GELDANAMYCIN,A2058,-15.5229571
ABT-888,GELDANAMYCIN,A2058,-23.0080196
ABT-888,GELDANAMYCIN,A2058,-23.5253946
ABT-888,MK-8669,A2058,-1.671369438
ABT-888,MK-8669,A2058,-12.72124444
ABT-888,MK-8669,A2058,-6.966931938
ABT-888,MK-8669,A2058,-7.205619438
ABT-888,MK-8776,A2058,-6.729231201
ABT-888,MK-8776,A2058,-13.6194812
ABT-888,MK-8776,A2058,-14.7899812
ABT-888,MK-8776,A2058,-5.755168701
ABT-888,OXALIPLATIN,A2058,-4.31944935
ABT-888,OXALIPLATIN,A2058,-5.36882435
ABT-888,OXALIPLATIN,A2058,-5.88738685
ABT-888,OXALIPLATIN,A2058,-2.406473517
ABT-888,SN-38,A2058,-55.64262469
ABT-888,SN-38,A2058,-52.07249969
ABT-888,SN-38,A2058,-54.15081219
ABT-888,SN-38,A2058,-51.81581219
ABT-888,SORAFENIB,A2058,26.7249105
ABT-888,SORAFENIB,A2058,27.593348
ABT-888,SORAFENIB,A2058,1.539535504
ABT-888,SORAFENIB,A2058,42.411973
ABT-888,TOPOTECAN,A2058,-22.72181585
ABT-888,TOPOTECAN,A2058,-21.59962835
ABT-888,TOPOTECAN,A2058,-25.85525335
ABT-888,TOPOTECAN,A2058,-23.66119085
AZD1775,ABT-888,A2058,-57.1552178
AZD1775,ABT-888,A2058,-53.2211553
AZD1775,ABT-888,A2058,-53.4276553
AZD1775,ABT-888,A2058,-58.3195303
AZD1775,BEZ-235,A2058,3.174831661
AZD1775,BEZ-235,A2058,9.324581661
AZD1775,BEZ-235,A2058,8.209269161
AZD1775,BEZ-235,A2058,6.885394161
AZD1775,BORTEZOMIB,A2058,-4.093807875
AZD1775,BORTEZOMIB,A2058,-5.421307875
AZD1775,BORTEZOMIB,A2058,-1.032932875
AZD1775,BORTEZOMIB,A2058,-0.198245375
AZD1775,DASATINIB,A2058,4.289617539
AZD1775,DASATINIB,A2058,7.538805039
AZD1775,DASATINIB,A2058,4.474492539
AZD1775,DASATINIB,A2058,4.575305039
AZD1775,DINACICLIB,A2058,-3.671388348
AZD1775,DINACICLIB,A2058,-3.640950848
AZD1775,DINACICLIB,A2058,-5.176388348
AZD1775,DINACICLIB,A2058,2.920799152
AZD1775,ERLOTINIB,A2058,2.582340004
AZD1775,ERLOTINIB,A2058,-0.672222496
AZD1775,ERLOTINIB,A2058,1.437090004
AZD1775,ERLOTINIB,A2058,3.784590004
AZD1775,GELDANAMYCIN,A2058,8.10589786
AZD1775,GELDANAMYCIN,A2058,1.17639786
AZD1775,GELDANAMYCIN,A2058,2.66158536
AZD1775,GELDANAMYCIN,A2058,5.50933536
AZD1775,LAPATINIB,A2058,4.240315943
AZD1775,LAPATINIB,A2058,7.825628443
AZD1775,LAPATINIB,A2058,1.819253443
AZD1775,LAPATINIB,A2058,3.887190943
AZD1775,MK-2206,A2058,7.537991888
AZD1775,MK-2206,A2058,8.405741888
AZD1775,MK-2206,A2058,7.076366888
AZD1775,MK-2206,A2058,4.903554388
AZD1775,MK-4827,A2058,14.74601786
AZD1775,MK-4827,A2058,14.31676786
AZD1775,MK-4827,A2058,5.457642858
AZD1775,MK-4827,A2058,15.88201786
AZD1775,MK-5108,A2058,-5.596436799
AZD1775,MK-5108,A2058,-6.737624299
AZD1775,MK-5108,A2058,-4.771499299
AZD1775,MK-5108,A2058,-7.082624299
AZD1775,MK-8669,A2058,22.7068309
AZD1775,MK-8669,A2058,12.7277684
AZD1775,MK-8669,A2058,14.5615184
AZD1775,MK-8669,A2058,14.3337059
AZD1775,MK-8776,A2058,27.18687052
AZD1775,MK-8776,A2058,29.34762052
AZD1775,MK-8776,A2058,26.89005802
AZD1775,MK-8776,A2058,28.55087052
AZD1775,OXALIPLATIN,A2058,-2.15558405
AZD1775,OXALIPLATIN,A2058,-4.56458405
AZD1775,OXALIPLATIN,A2058,-3.33295905
AZD1775,OXALIPLATIN,A2058,-2.29877155
AZD1775,PD325901,A2058,2.705297831
AZD1775,PD325901,A2058,9.890985331
AZD1775,PD325901,A2058,6.953797831
AZD1775,PD325901,A2058,5.992360331
AZD1775,SN-38,A2058,4.719005016
AZD1775,SN-38,A2058,2.080380016
AZD1775,SN-38,A2058,6.959505016
AZD1775,SN-38,A2058,1.604317516
AZD1775,SORAFENIB,A2058,-5.537108494
AZD1775,SORAFENIB,A2058,1.165641506
AZD1775,SORAFENIB,A2058,-5.323733494
AZD1775,SORAFENIB,A2058,-1.703670994
AZD1775,TOPOTECAN,A2058,5.112316699
AZD1775,TOPOTECAN,A2058,3.521441699
AZD1775,TOPOTECAN,A2058,1.994566699
AZD1775,TOPOTECAN,A2058,0.078566699
BEZ-235,DINACICLIB,A2058,0.171686544
BEZ-235,DINACICLIB,A2058,5.185061544
BEZ-235,DINACICLIB,A2058,6.292811544
BEZ-235,DINACICLIB,A2058,5.542874044
BEZ-235,MK-8776,A2058,10.18988099
BEZ-235,MK-8776,A2058,8.655568488
BEZ-235,MK-8776,A2058,14.35550599
BEZ-235,MK-8776,A2058,10.11363099
BEZ-235,OXALIPLATIN,A2058,4.532913159
BEZ-235,OXALIPLATIN,A2058,7.188350659
BEZ-235,OXALIPLATIN,A2058,5.899225659
BEZ-235,OXALIPLATIN,A2058,8.042038159
BEZ-235,SN-38,A2058,-2.455277751
BEZ-235,SN-38,A2058,-2.586465251
BEZ-235,SN-38,A2058,-2.256402751
BEZ-235,SN-38,A2058,-0.596590251
BEZ-235,SORAFENIB,A2058,4.287078043
BEZ-235,SORAFENIB,A2058,2.695140543
BEZ-235,SORAFENIB,A2058,5.078265543
BEZ-235,SORAFENIB,A2058,7.315140543
BORTEZOMIB,ABT-888,A2058,-0.867910881
BORTEZOMIB,ABT-888,A2058,-1.314660881
BORTEZOMIB,ABT-888,A2058,-0.506598381
BORTEZOMIB,ABT-888,A2058,3.887026619
BORTEZOMIB,BEZ-235,A2058,-1.555528127
BORTEZOMIB,BEZ-235,A2058,2.302784373
BORTEZOMIB,BEZ-235,A2058,-1.069403127
BORTEZOMIB,BEZ-235,A2058,1.056034373
BORTEZOMIB,DASATINIB,A2058,3.02178895
BORTEZOMIB,DASATINIB,A2058,-5.19239855
BORTEZOMIB,DASATINIB,A2058,-1.53908605
BORTEZOMIB,DASATINIB,A2058,-0.04514855
BORTEZOMIB,DINACICLIB,A2058,-1.066917878
BORTEZOMIB,DINACICLIB,A2058,-6.843292878
BORTEZOMIB,DINACICLIB,A2058,-2.946042878
BORTEZOMIB,DINACICLIB,A2058,-5.688411784
BORTEZOMIB,GELDANAMYCIN,A2058,-0.479214684
BORTEZOMIB,GELDANAMYCIN,A2058,-1.936027184
BORTEZOMIB,GELDANAMYCIN,A2058,-0.287589684
BORTEZOMIB,GELDANAMYCIN,A2058,-1.448152184
BORTEZOMIB,MK-8669,A2058,-4.349105349
BORTEZOMIB,MK-8669,A2058,-1.238917849
BORTEZOMIB,MK-8669,A2058,-0.020917849
BORTEZOMIB,MK-8669,A2058,-5.261667849
BORTEZOMIB,MK-8776,A2058,4.082202681
BORTEZOMIB,MK-8776,A2058,0.090265181
BORTEZOMIB,MK-8776,A2058,-3.210797319
BORTEZOMIB,MK-8776,A2058,-2.414922319
BORTEZOMIB,OXALIPLATIN,A2058,-3.42633685
BORTEZOMIB,OXALIPLATIN,A2058,-4.56664935
BORTEZOMIB,OXALIPLATIN,A2058,-4.60827435
BORTEZOMIB,OXALIPLATIN,A2058,-4.50346185
BORTEZOMIB,SN-38,A2058,15.31739558
BORTEZOMIB,SN-38,A2058,13.25389558
BORTEZOMIB,SN-38,A2058,3.59133308
BORTEZOMIB,SN-38,A2058,-0.66654192
BORTEZOMIB,SORAFENIB,A2058,-3.177002076
BORTEZOMIB,SORAFENIB,A2058,-0.174627076
BORTEZOMIB,SORAFENIB,A2058,25.85262292
BORTEZOMIB,SORAFENIB,A2058,1.477060424
BORTEZOMIB,TOPOTECAN,A2058,-4.15071493
BORTEZOMIB,TOPOTECAN,A2058,-2.67908993
BORTEZOMIB,TOPOTECAN,A2058,-5.94977743
BORTEZOMIB,TOPOTECAN,A2058,-0.13590243
CARBOPLATIN,ABT-888,A2058,-0.020026769
CARBOPLATIN,ABT-888,A2058,-3.287089269
CARBOPLATIN,ABT-888,A2058,0.865535731
CARBOPLATIN,ABT-888,A2058,-1.374901769
CARBOPLATIN,AZD1775,A2058,14.21173638
CARBOPLATIN,AZD1775,A2058,9.370611381
CARBOPLATIN,AZD1775,A2058,10.23004888
CARBOPLATIN,AZD1775,A2058,4.613673881
CARBOPLATIN,BEZ-235,A2058,2.034437553
CARBOPLATIN,BEZ-235,A2058,1.853000053
CARBOPLATIN,BEZ-235,A2058,1.681375053
CARBOPLATIN,BEZ-235,A2058,3.950250053
CARBOPLATIN,BORTEZOMIB,A2058,-3.925004681
CARBOPLATIN,BORTEZOMIB,A2058,-3.046754681
CARBOPLATIN,BORTEZOMIB,A2058,-1.522129681
CARBOPLATIN,BORTEZOMIB,A2058,4.355307819
CARBOPLATIN,DASATINIB,A2058,6.972430549
CARBOPLATIN,DASATINIB,A2058,7.778368049
CARBOPLATIN,DASATINIB,A2058,3.422118049
CARBOPLATIN,DASATINIB,A2058,12.32305555
CARBOPLATIN,DINACICLIB,A2058,4.521904602
CARBOPLATIN,DINACICLIB,A2058,2.993654602
CARBOPLATIN,DINACICLIB,A2058,-4.323220398
CARBOPLATIN,DINACICLIB,A2058,11.4002171
CARBOPLATIN,ERLOTINIB,A2058,9.218271211
CARBOPLATIN,ERLOTINIB,A2058,7.840271211
CARBOPLATIN,ERLOTINIB,A2058,-2.676103789
CARBOPLATIN,ERLOTINIB,A2058,1.269646211
CARBOPLATIN,GELDANAMYCIN,A2058,5.716765877
CARBOPLATIN,GELDANAMYCIN,A2058,5.752265877
CARBOPLATIN,GELDANAMYCIN,A2058,6.779453377
CARBOPLATIN,GELDANAMYCIN,A2058,6.513828377
CARBOPLATIN,L778123,A2058,7.914418761
CARBOPLATIN,L778123,A2058,11.21104376
CARBOPLATIN,L778123,A2058,-1.945893739
CARBOPLATIN,L778123,A2058,4.328418761
CARBOPLATIN,LAPATINIB,A2058,4.870612106
CARBOPLATIN,LAPATINIB,A2058,11.59292461
CARBOPLATIN,LAPATINIB,A2058,-5.431887894
CARBOPLATIN,LAPATINIB,A2058,6.276299606
CARBOPLATIN,MK-2206,A2058,5.664745365
CARBOPLATIN,MK-2206,A2058,7.339995365
CARBOPLATIN,MK-2206,A2058,1.635245365
CARBOPLATIN,MK-2206,A2058,5.987995365
CARBOPLATIN,MK-4827,A2058,4.563515593
CARBOPLATIN,MK-4827,A2058,0.919953093
CARBOPLATIN,MK-4827,A2058,6.703828093
CARBOPLATIN,MK-4827,A2058,2.165828093
CARBOPLATIN,MK-5108,A2058,-5.671588866
CARBOPLATIN,MK-5108,A2058,-4.123776366
CARBOPLATIN,MK-5108,A2058,1.658786134
CARBOPLATIN,MK-5108,A2058,-2.893026366
CARBOPLATIN,MK-8669,A2058,9.101212698
CARBOPLATIN,MK-8669,A2058,4.623337698
CARBOPLATIN,MK-8669,A2058,-0.482349802
CARBOPLATIN,MK-8669,A2058,10.3145877
CARBOPLATIN,MK-8776,A2058,9.803473048
CARBOPLATIN,MK-8776,A2058,7.471160548
CARBOPLATIN,MK-8776,A2058,11.21416055
CARBOPLATIN,MK-8776,A2058,8.974723048
CARBOPLATIN,PD325901,A2058,-8.768206435
CARBOPLATIN,PD325901,A2058,-8.025643935
CARBOPLATIN,PD325901,A2058,-3.540956435
CARBOPLATIN,PD325901,A2058,0.857356065
CARBOPLATIN,SORAFENIB,A2058,-11.573134
CARBOPLATIN,SORAFENIB,A2058,-7.338321498
CARBOPLATIN,SORAFENIB,A2058,-3.502633998
CARBOPLATIN,SORAFENIB,A2058,-11.426759
CARBOPLATIN,SUNITINIB,A2058,5.848577094
CARBOPLATIN,SUNITINIB,A2058,4.720577094
CARBOPLATIN,SUNITINIB,A2058,10.64363959
CARBOPLATIN,SUNITINIB,A2058,2.196202094
CARBOPLATIN,TEMOZOLOMIDE,A2058,-3.062197412
CARBOPLATIN,TEMOZOLOMIDE,A2058,-4.151634912
CARBOPLATIN,TEMOZOLOMIDE,A2058,-6.813822412
CARBOPLATIN,TEMOZOLOMIDE,A2058,-5.661947412
CARBOPLATIN,ZOLINZA,A2058,5.212410503
CARBOPLATIN,ZOLINZA,A2058,2.670910503
CARBOPLATIN,ZOLINZA,A2058,-0.534026997
CARBOPLATIN,ZOLINZA,A2058,9.056473003
CYCLOPHOSPHAMIDE,ABT-888,A2058,2.64244046
CYCLOPHOSPHAMIDE,ABT-888,A2058,17.68719046
CYCLOPHOSPHAMIDE,ABT-888,A2058,18.77087796
CYCLOPHOSPHAMIDE,ABT-888,A2058,6.07631546
CYCLOPHOSPHAMIDE,AZD1775,A2058,-62.33139465
CYCLOPHOSPHAMIDE,AZD1775,A2058,-60.65445715
CYCLOPHOSPHAMIDE,AZD1775,A2058,-62.50533215
CYCLOPHOSPHAMIDE,AZD1775,A2058,-59.88901965
CYCLOPHOSPHAMIDE,BEZ-235,A2058,-25.59537301
CYCLOPHOSPHAMIDE,BEZ-235,A2058,-27.92649801
CYCLOPHOSPHAMIDE,BEZ-235,A2058,-23.42137301
CYCLOPHOSPHAMIDE,BEZ-235,A2058,-26.67149801
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,-54.34736145
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,-54.48911145
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,-52.32267395
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,-52.48298645
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-8.464189444
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-5.366189444
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-7.781439444
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-0.136814444
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,-52.63770081
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,-53.10082581
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,-55.18063831
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,-56.49859602
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-33.386866
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-36.923616
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-28.770241
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-36.083866
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,-31.0153946
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,-31.0128321
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,-29.6542696
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,-30.2765821
CYCLOPHOSPHAMIDE,L778123,A2058,-13.20689998
CYCLOPHOSPHAMIDE,L778123,A2058,-12.59477498
CYCLOPHOSPHAMIDE,L778123,A2058,-8.58958748
CYCLOPHOSPHAMIDE,L778123,A2058,-2.51071248
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-25.27481578
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-22.29187828
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-19.95912828
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-25.95319078
CYCLOPHOSPHAMIDE,MK-2206,A2058,-14.5399632
CYCLOPHOSPHAMIDE,MK-2206,A2058,-18.7675882
CYCLOPHOSPHAMIDE,MK-2206,A2058,-18.5640257
CYCLOPHOSPHAMIDE,MK-2206,A2058,-17.7857757
CYCLOPHOSPHAMIDE,MK-4827,A2058,-16.76307823
CYCLOPHOSPHAMIDE,MK-4827,A2058,-21.22357823
CYCLOPHOSPHAMIDE,MK-4827,A2058,-18.50089073
CYCLOPHOSPHAMIDE,MK-4827,A2058,-21.11745323
CYCLOPHOSPHAMIDE,MK-5108,A2058,-50.37975668
CYCLOPHOSPHAMIDE,MK-5108,A2058,-49.09781918
CYCLOPHOSPHAMIDE,MK-5108,A2058,-49.51813168
CYCLOPHOSPHAMIDE,MK-5108,A2058,-47.52169418
CYCLOPHOSPHAMIDE,MK-8669,A2058,-10.35193194
CYCLOPHOSPHAMIDE,MK-8669,A2058,-12.72918194
CYCLOPHOSPHAMIDE,MK-8669,A2058,-12.62361944
CYCLOPHOSPHAMIDE,MK-8669,A2058,-9.523619438
CYCLOPHOSPHAMIDE,MK-8776,A2058,-15.5911687
CYCLOPHOSPHAMIDE,MK-8776,A2058,-14.3332312
CYCLOPHOSPHAMIDE,MK-8776,A2058,-19.8742937
CYCLOPHOSPHAMIDE,MK-8776,A2058,-17.4098562
CYCLOPHOSPHAMIDE,PD325901,A2058,-36.4663923
CYCLOPHOSPHAMIDE,PD325901,A2058,-36.2740798
CYCLOPHOSPHAMIDE,PD325901,A2058,-28.9072048
CYCLOPHOSPHAMIDE,PD325901,A2058,-33.9488923
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,-4.258129089
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,-6.269191589
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,-9.293254089
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,-3.862191589
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,-16.81412781
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,-12.47250281
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,-14.33175281
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,-16.00775281
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,3.502954683
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,5.184704683
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,1.962970308
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,1.845048433
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,-33.19856191
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,-35.33218691
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,-35.77231191
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,-32.74331191
DASATINIB,ABT-888,A2058,-4.468250213
DASATINIB,ABT-888,A2058,-2.785187713
DASATINIB,ABT-888,A2058,-5.668625213
DASATINIB,ABT-888,A2058,-4.850187713
DASATINIB,BEZ-235,A2058,1.741200086
DASATINIB,BEZ-235,A2058,0.257325086
DASATINIB,BEZ-235,A2058,3.916575086
DASATINIB,BEZ-235,A2058,6.861387586
DASATINIB,DINACICLIB,A2058,-2.020592458
DASATINIB,DINACICLIB,A2058,-3.081967458
DASATINIB,DINACICLIB,A2058,-3.308029958
DASATINIB,DINACICLIB,A2058,1.356532542
DASATINIB,GELDANAMYCIN,A2058,-8.082176939
DASATINIB,GELDANAMYCIN,A2058,-8.003114439
DASATINIB,GELDANAMYCIN,A2058,-10.40923944
DASATINIB,GELDANAMYCIN,A2058,-8.249864439
DASATINIB,MK-8669,A2058,19.07688587
DASATINIB,MK-8669,A2058,13.91244837
DASATINIB,MK-8669,A2058,16.19582337
DASATINIB,MK-8669,A2058,16.92538587
DASATINIB,MK-8776,A2058,13.07333351
DASATINIB,MK-8776,A2058,16.09295851
DASATINIB,MK-8776,A2058,13.34833351
DASATINIB,MK-8776,A2058,16.07402101
DASATINIB,OXALIPLATIN,A2058,8.292068441
DASATINIB,OXALIPLATIN,A2058,6.760443441
DASATINIB,OXALIPLATIN,A2058,2.290943441
DASATINIB,OXALIPLATIN,A2058,11.65469344
DASATINIB,SN-38,A2058,1.879283823
DASATINIB,SN-38,A2058,6.467533823
DASATINIB,SN-38,A2058,10.19984632
DASATINIB,SN-38,A2058,0.648596323
DASATINIB,SORAFENIB,A2058,11.96241548
DASATINIB,SORAFENIB,A2058,7.499477981
DASATINIB,SORAFENIB,A2058,11.48260298
DASATINIB,SORAFENIB,A2058,18.24554048
DASATINIB,TOPOTECAN,A2058,-4.016660539
DASATINIB,TOPOTECAN,A2058,-0.212785539
DASATINIB,TOPOTECAN,A2058,6.780339461
DASATINIB,TOPOTECAN,A2058,-4.602785539
DEXAMETHASONE,ABT-888,A2058,-2.76305954
DEXAMETHASONE,ABT-888,A2058,-10.80924704
DEXAMETHASONE,ABT-888,A2058,-11.37824704
DEXAMETHASONE,ABT-888,A2058,-7.78655954
DEXAMETHASONE,AZD1775,A2058,-64.52676965
DEXAMETHASONE,AZD1775,A2058,-70.68064465
DEXAMETHASONE,AZD1775,A2058,-74.82583215
DEXAMETHASONE,AZD1775,A2058,-66.15570715
DEXAMETHASONE,BEZ-235,A2058,-29.39306051
DEXAMETHASONE,BEZ-235,A2058,-26.77037301
DEXAMETHASONE,BEZ-235,A2058,-25.11293551
DEXAMETHASONE,BEZ-235,A2058,-29.22793551
DEXAMETHASONE,BORTEZOMIB,A2058,-54.63923645
DEXAMETHASONE,BORTEZOMIB,A2058,-59.44842395
DEXAMETHASONE,BORTEZOMIB,A2058,-55.84848645
DEXAMETHASONE,BORTEZOMIB,A2058,-58.45892395
DEXAMETHASONE,DASATINIB,A2058,-7.514501944
DEXAMETHASONE,DASATINIB,A2058,-11.63393944
DEXAMETHASONE,DASATINIB,A2058,-8.854064444
DEXAMETHASONE,DASATINIB,A2058,-13.47587694
DEXAMETHASONE,DINACICLIB,A2058,-65.96763831
DEXAMETHASONE,DINACICLIB,A2058,-60.99276331
DEXAMETHASONE,DINACICLIB,A2058,-61.38795081
DEXAMETHASONE,DINACICLIB,A2058,-59.99020081
DEXAMETHASONE,ERLOTINIB,A2058,-44.682366
DEXAMETHASONE,ERLOTINIB,A2058,-39.511491
DEXAMETHASONE,ERLOTINIB,A2058,-39.6540535
DEXAMETHASONE,ERLOTINIB,A2058,-41.678616
DEXAMETHASONE,GELDANAMYCIN,A2058,-24.7123946
DEXAMETHASONE,GELDANAMYCIN,A2058,-36.3402071
DEXAMETHASONE,GELDANAMYCIN,A2058,-32.5598321
DEXAMETHASONE,GELDANAMYCIN,A2058,-31.1377696
DEXAMETHASONE,L778123,A2058,-13.02321248
DEXAMETHASONE,L778123,A2058,-21.56064998
DEXAMETHASONE,L778123,A2058,-20.13352498
DEXAMETHASONE,L778123,A2058,-13.88458748
DEXAMETHASONE,LAPATINIB,A2058,-34.22350328
DEXAMETHASONE,LAPATINIB,A2058,-27.27100328
DEXAMETHASONE,LAPATINIB,A2058,-28.97912828
DEXAMETHASONE,LAPATINIB,A2058,-33.61815953
DEXAMETHASONE,MK-2206,A2058,-20.3765882
DEXAMETHASONE,MK-2206,A2058,-22.0717757
DEXAMETHASONE,MK-2206,A2058,-17.4170257
DEXAMETHASONE,MK-2206,A2058,-21.3882132
DEXAMETHASONE,MK-4827,A2058,-29.07339073
DEXAMETHASONE,MK-4827,A2058,-31.56576573
DEXAMETHASONE,MK-4827,A2058,-33.81339073
DEXAMETHASONE,MK-4827,A2058,-34.18451573
DEXAMETHASONE,MK-5108,A2058,-60.33869418
DEXAMETHASONE,MK-5108,A2058,-63.08869418
DEXAMETHASONE,MK-5108,A2058,-51.94981918
DEXAMETHASONE,MK-5108,A2058,-56.05225668
DEXAMETHASONE,MK-8669,A2058,-13.86568194
DEXAMETHASONE,MK-8669,A2058,-16.57755694
DEXAMETHASONE,MK-8669,A2058,-15.18024444
DEXAMETHASONE,MK-8669,A2058,-10.51430694
DEXAMETHASONE,MK-8776,A2058,-23.7154812
DEXAMETHASONE,MK-8776,A2058,-25.5662937
DEXAMETHASONE,MK-8776,A2058,-22.2654187
DEXAMETHASONE,MK-8776,A2058,-9.946418701
DEXAMETHASONE,PD325901,A2058,-33.2600173
