drug_row,drug_col,cell_line_name,synergy_hsa
BORTEZOMIB,GELDANAMYCIN,A2058,2.583878329
BORTEZOMIB,MK-8669,A2058,-2.237609809
BORTEZOMIB,MK-8669,A2058,0.872577691
BORTEZOMIB,MK-8669,A2058,2.090577691
BORTEZOMIB,MK-8669,A2058,-3.150172309
BORTEZOMIB,MK-8776,A2058,7.409792691
BORTEZOMIB,MK-8776,A2058,3.417855191
BORTEZOMIB,MK-8776,A2058,0.116792691
BORTEZOMIB,MK-8776,A2058,0.912667691
BORTEZOMIB,OXALIPLATIN,A2058,1.552268566
BORTEZOMIB,OXALIPLATIN,A2058,0.411956066
BORTEZOMIB,OXALIPLATIN,A2058,0.370331066
BORTEZOMIB,OXALIPLATIN,A2058,0.475143566
BORTEZOMIB,SN-38,A2058,19.09122744
BORTEZOMIB,SN-38,A2058,17.02772744
BORTEZOMIB,SN-38,A2058,7.365164941
BORTEZOMIB,SN-38,A2058,3.107289941
BORTEZOMIB,SORAFENIB,A2058,2.766234335
BORTEZOMIB,SORAFENIB,A2058,5.768609335
BORTEZOMIB,SORAFENIB,A2058,31.79585934
BORTEZOMIB,SORAFENIB,A2058,7.420296835
BORTEZOMIB,TOPOTECAN,A2058,1.244724316
BORTEZOMIB,TOPOTECAN,A2058,2.716349316
BORTEZOMIB,TOPOTECAN,A2058,-0.554338184
BORTEZOMIB,TOPOTECAN,A2058,5.259536816
CARBOPLATIN,ABT-888,A2058,3.899347086
CARBOPLATIN,ABT-888,A2058,0.632284586
CARBOPLATIN,ABT-888,A2058,4.784909586
CARBOPLATIN,ABT-888,A2058,2.544472086
CARBOPLATIN,AZD1775,A2058,21.34499918
CARBOPLATIN,AZD1775,A2058,16.50387418
CARBOPLATIN,AZD1775,A2058,17.36331168
CARBOPLATIN,AZD1775,A2058,11.74693668
CARBOPLATIN,BEZ-235,A2058,4.987850692
CARBOPLATIN,BEZ-235,A2058,4.806413192
CARBOPLATIN,BEZ-235,A2058,4.634788192
CARBOPLATIN,BEZ-235,A2058,6.903663192
CARBOPLATIN,BORTEZOMIB,A2058,-1.169529904
CARBOPLATIN,BORTEZOMIB,A2058,-0.291279904
CARBOPLATIN,BORTEZOMIB,A2058,1.233345096
CARBOPLATIN,BORTEZOMIB,A2058,7.110782596
CARBOPLATIN,DASATINIB,A2058,7.976542942
CARBOPLATIN,DASATINIB,A2058,8.782480442
CARBOPLATIN,DASATINIB,A2058,4.426230442
CARBOPLATIN,DASATINIB,A2058,13.32716794
CARBOPLATIN,DINACICLIB,A2058,9.678047272
CARBOPLATIN,DINACICLIB,A2058,8.149797272
CARBOPLATIN,DINACICLIB,A2058,0.832922272
CARBOPLATIN,DINACICLIB,A2058,16.55635977
CARBOPLATIN,ERLOTINIB,A2058,14.32346996
CARBOPLATIN,ERLOTINIB,A2058,12.94546996
CARBOPLATIN,ERLOTINIB,A2058,2.42909496
CARBOPLATIN,ERLOTINIB,A2058,6.37484496
CARBOPLATIN,GELDANAMYCIN,A2058,9.672736893
CARBOPLATIN,GELDANAMYCIN,A2058,9.708236893
CARBOPLATIN,GELDANAMYCIN,A2058,10.73542439
CARBOPLATIN,GELDANAMYCIN,A2058,10.46979939
CARBOPLATIN,L778123,A2058,11.4302446
CARBOPLATIN,L778123,A2058,14.7268696
CARBOPLATIN,L778123,A2058,1.569932098
CARBOPLATIN,L778123,A2058,7.844244598
CARBOPLATIN,LAPATINIB,A2058,9.333256147
CARBOPLATIN,LAPATINIB,A2058,16.05556865
CARBOPLATIN,LAPATINIB,A2058,-0.969243853
CARBOPLATIN,LAPATINIB,A2058,10.73894365
CARBOPLATIN,MK-2206,A2058,8.436618098
CARBOPLATIN,MK-2206,A2058,10.1118681
CARBOPLATIN,MK-2206,A2058,4.407118098
CARBOPLATIN,MK-2206,A2058,8.759868098
CARBOPLATIN,MK-4827,A2058,8.380184725
CARBOPLATIN,MK-4827,A2058,4.736622225
CARBOPLATIN,MK-4827,A2058,10.52049723
CARBOPLATIN,MK-4827,A2058,5.982497225
CARBOPLATIN,MK-5108,A2058,1.33359621
CARBOPLATIN,MK-5108,A2058,2.88140871
CARBOPLATIN,MK-5108,A2058,8.66397121
CARBOPLATIN,MK-5108,A2058,4.11215871
CARBOPLATIN,MK-8669,A2058,10.90168661
CARBOPLATIN,MK-8669,A2058,6.423811614
CARBOPLATIN,MK-8669,A2058,1.318124114
CARBOPLATIN,MK-8669,A2058,12.11506161
CARBOPLATIN,MK-8776,A2058,12.52334644
CARBOPLATIN,MK-8776,A2058,10.19103394
CARBOPLATIN,MK-8776,A2058,13.93403394
CARBOPLATIN,MK-8776,A2058,11.69459644
CARBOPLATIN,PD325901,A2058,-6.410609627
CARBOPLATIN,PD325901,A2058,-5.668047127
CARBOPLATIN,PD325901,A2058,-1.183359627
CARBOPLATIN,PD325901,A2058,3.214952873
CARBOPLATIN,SORAFENIB,A2058,-2.424464945
CARBOPLATIN,SORAFENIB,A2058,1.810347555
CARBOPLATIN,SORAFENIB,A2058,5.646035055
CARBOPLATIN,SORAFENIB,A2058,-2.278089945
CARBOPLATIN,SUNITINIB,A2058,11.95630536
CARBOPLATIN,SUNITINIB,A2058,10.82830536
CARBOPLATIN,SUNITINIB,A2058,16.75136786
CARBOPLATIN,SUNITINIB,A2058,8.303930364
CARBOPLATIN,TEMOZOLOMIDE,A2058,2.214174192
CARBOPLATIN,TEMOZOLOMIDE,A2058,1.124736692
CARBOPLATIN,TEMOZOLOMIDE,A2058,-1.537450808
CARBOPLATIN,TEMOZOLOMIDE,A2058,-0.385575808
CARBOPLATIN,ZOLINZA,A2058,11.13360482
CARBOPLATIN,ZOLINZA,A2058,8.592104819
CARBOPLATIN,ZOLINZA,A2058,5.387167319
CARBOPLATIN,ZOLINZA,A2058,14.97766732
CYCLOPHOSPHAMIDE,ABT-888,A2058,2.698939506
CYCLOPHOSPHAMIDE,ABT-888,A2058,17.74368951
CYCLOPHOSPHAMIDE,ABT-888,A2058,18.82737701
CYCLOPHOSPHAMIDE,ABT-888,A2058,6.132814506
CYCLOPHOSPHAMIDE,AZD1775,A2058,1.488640819
CYCLOPHOSPHAMIDE,AZD1775,A2058,3.165578319
CYCLOPHOSPHAMIDE,AZD1775,A2058,1.314703319
CYCLOPHOSPHAMIDE,AZD1775,A2058,3.931015819
CYCLOPHOSPHAMIDE,BEZ-235,A2058,4.718240969
CYCLOPHOSPHAMIDE,BEZ-235,A2058,2.387115969
CYCLOPHOSPHAMIDE,BEZ-235,A2058,6.892240969
CYCLOPHOSPHAMIDE,BEZ-235,A2058,3.642115969
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,0.973041274
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,0.831291274
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,2.997728774
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,2.837416274
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-4.432240781
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-1.334240781
CYCLOPHOSPHAMIDE,DASATINIB,A2058,-3.749490781
CYCLOPHOSPHAMIDE,DASATINIB,A2058,3.895134219
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,6.416578369
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,5.953453369
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,3.873640869
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,2.555683156
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-1.570150031
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-5.106900031
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,3.046474969
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,-4.267150031
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,3.964403744
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,3.966966244
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,5.325528744
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,4.703216244
CYCLOPHOSPHAMIDE,L778123,A2058,-0.139233281
CYCLOPHOSPHAMIDE,L778123,A2058,0.472891719
CYCLOPHOSPHAMIDE,L778123,A2058,4.478079219
CYCLOPHOSPHAMIDE,L778123,A2058,10.55695422
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-0.617918531
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,2.365018969
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,4.697768969
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,-1.296293531
CYCLOPHOSPHAMIDE,MK-2206,A2058,5.348518719
CYCLOPHOSPHAMIDE,MK-2206,A2058,1.120893719
CYCLOPHOSPHAMIDE,MK-2206,A2058,1.324456219
CYCLOPHOSPHAMIDE,MK-2206,A2058,2.102706219
CYCLOPHOSPHAMIDE,MK-4827,A2058,4.661750219
CYCLOPHOSPHAMIDE,MK-4827,A2058,0.201250219
CYCLOPHOSPHAMIDE,MK-4827,A2058,2.923937719
CYCLOPHOSPHAMIDE,MK-4827,A2058,0.307375219
CYCLOPHOSPHAMIDE,MK-5108,A2058,-1.624490031
CYCLOPHOSPHAMIDE,MK-5108,A2058,-0.342552531
CYCLOPHOSPHAMIDE,MK-5108,A2058,-0.762865031
CYCLOPHOSPHAMIDE,MK-5108,A2058,1.233572469
CYCLOPHOSPHAMIDE,MK-8669,A2058,6.337427469
CYCLOPHOSPHAMIDE,MK-8669,A2058,3.960177469
CYCLOPHOSPHAMIDE,MK-8669,A2058,4.065739969
CYCLOPHOSPHAMIDE,MK-8669,A2058,7.165739969
CYCLOPHOSPHAMIDE,MK-8776,A2058,-0.981017531
CYCLOPHOSPHAMIDE,MK-8776,A2058,0.276919969
CYCLOPHOSPHAMIDE,MK-8776,A2058,-5.264142531
CYCLOPHOSPHAMIDE,MK-8776,A2058,-2.799705031
CYCLOPHOSPHAMIDE,PD325901,A2058,-1.786071731
CYCLOPHOSPHAMIDE,PD325901,A2058,-1.593759231
CYCLOPHOSPHAMIDE,PD325901,A2058,5.773115769
CYCLOPHOSPHAMIDE,PD325901,A2058,0.731428269
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,10.04667247
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,8.035609969
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,5.011547469
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,10.44260997
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,9.658753969
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,14.00037897
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,12.14112897
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,10.46512897
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,7.781976719
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,9.463726719
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,6.241992344
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,6.124070469
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,8.875693719
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,6.742068719
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,6.301943719
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,9.330943719
DASATINIB,ABT-888,A2058,-0.436355143
DASATINIB,ABT-888,A2058,1.246707357
DASATINIB,ABT-888,A2058,-1.636730143
DASATINIB,ABT-888,A2058,-0.818292643
DASATINIB,BEZ-235,A2058,12.14219749
DASATINIB,BEZ-235,A2058,10.65832249
DASATINIB,BEZ-235,A2058,14.31757249
DASATINIB,BEZ-235,A2058,17.26238499
DASATINIB,DINACICLIB,A2058,10.07496157
DASATINIB,DINACICLIB,A2058,9.013586571
DASATINIB,DINACICLIB,A2058,8.787524071
DASATINIB,DINACICLIB,A2058,13.45208657
DASATINIB,GELDANAMYCIN,A2058,1.716477489
DASATINIB,GELDANAMYCIN,A2058,1.795539989
DASATINIB,GELDANAMYCIN,A2058,-0.610585011
DASATINIB,GELDANAMYCIN,A2058,1.548789989
DASATINIB,MK-8669,A2058,21.35308657
DASATINIB,MK-8669,A2058,16.18864907
DASATINIB,MK-8669,A2058,18.47202407
DASATINIB,MK-8669,A2058,19.20158657
DASATINIB,MK-8776,A2058,13.58769749
DASATINIB,MK-8776,A2058,16.60732249
DASATINIB,MK-8776,A2058,13.86269749
DASATINIB,MK-8776,A2058,16.58838499
DASATINIB,OXALIPLATIN,A2058,10.09116898
DASATINIB,OXALIPLATIN,A2058,8.559543975
DASATINIB,OXALIPLATIN,A2058,4.090043975
DASATINIB,OXALIPLATIN,A2058,13.45379398
DASATINIB,SN-38,A2058,7.523085655
DASATINIB,SN-38,A2058,12.11133566
DASATINIB,SN-38,A2058,15.84364816
DASATINIB,SN-38,A2058,6.292398155
DASATINIB,SORAFENIB,A2058,14.18179648
DASATINIB,SORAFENIB,A2058,9.718858975
DASATINIB,SORAFENIB,A2058,13.70198398
DASATINIB,SORAFENIB,A2058,20.46492148
DASATINIB,TOPOTECAN,A2058,1.290789989
DASATINIB,TOPOTECAN,A2058,5.094664989
DASATINIB,TOPOTECAN,A2058,12.08778999
DASATINIB,TOPOTECAN,A2058,0.704664989
DEXAMETHASONE,ABT-888,A2058,-2.706560494
DEXAMETHASONE,ABT-888,A2058,-10.75274799
DEXAMETHASONE,ABT-888,A2058,-11.32174799
DEXAMETHASONE,ABT-888,A2058,-7.730060494
DEXAMETHASONE,AZD1775,A2058,-0.706734181
DEXAMETHASONE,AZD1775,A2058,-6.860609181
DEXAMETHASONE,AZD1775,A2058,-11.00579668
DEXAMETHASONE,AZD1775,A2058,-2.335671681
DEXAMETHASONE,BEZ-235,A2058,0.920553469
DEXAMETHASONE,BEZ-235,A2058,3.543240969
DEXAMETHASONE,BEZ-235,A2058,5.200678469
DEXAMETHASONE,BEZ-235,A2058,1.085678469
DEXAMETHASONE,BORTEZOMIB,A2058,0.685551719
DEXAMETHASONE,BORTEZOMIB,A2058,-4.123635781
DEXAMETHASONE,BORTEZOMIB,A2058,-0.523698281
DEXAMETHASONE,BORTEZOMIB,A2058,-3.134135781
DEXAMETHASONE,DASATINIB,A2058,-3.482553281
DEXAMETHASONE,DASATINIB,A2058,-7.601990781
DEXAMETHASONE,DASATINIB,A2058,-4.822115781
DEXAMETHASONE,DASATINIB,A2058,-9.443928281
DEXAMETHASONE,DINACICLIB,A2058,-6.913359131
DEXAMETHASONE,DINACICLIB,A2058,-1.938484131
DEXAMETHASONE,DINACICLIB,A2058,-2.333671631
DEXAMETHASONE,DINACICLIB,A2058,-0.935921631
DEXAMETHASONE,ERLOTINIB,A2058,-12.86565003
DEXAMETHASONE,ERLOTINIB,A2058,-7.694775031
DEXAMETHASONE,ERLOTINIB,A2058,-7.837337531
DEXAMETHASONE,ERLOTINIB,A2058,-9.861900031
DEXAMETHASONE,GELDANAMYCIN,A2058,10.26740374
DEXAMETHASONE,GELDANAMYCIN,A2058,-1.360408756
DEXAMETHASONE,GELDANAMYCIN,A2058,2.419966244
DEXAMETHASONE,GELDANAMYCIN,A2058,3.842028744
DEXAMETHASONE,L778123,A2058,0.044454219
DEXAMETHASONE,L778123,A2058,-8.492983281
DEXAMETHASONE,L778123,A2058,-7.065858281
DEXAMETHASONE,L778123,A2058,-0.816920781
DEXAMETHASONE,LAPATINIB,A2058,-9.566606031
DEXAMETHASONE,LAPATINIB,A2058,-2.614106031
DEXAMETHASONE,LAPATINIB,A2058,-4.322231031
DEXAMETHASONE,LAPATINIB,A2058,-8.961262281
DEXAMETHASONE,MK-2206,A2058,-0.488106281
DEXAMETHASONE,MK-2206,A2058,-2.183293781
DEXAMETHASONE,MK-2206,A2058,2.471456219
DEXAMETHASONE,MK-2206,A2058,-1.499731281
DEXAMETHASONE,MK-4827,A2058,-7.648562281
DEXAMETHASONE,MK-4827,A2058,-10.14093728
DEXAMETHASONE,MK-4827,A2058,-12.38856228
DEXAMETHASONE,MK-4827,A2058,-12.75968728
DEXAMETHASONE,MK-5108,A2058,-11.58342753
DEXAMETHASONE,MK-5108,A2058,-14.33342753
DEXAMETHASONE,MK-5108,A2058,-3.194552531
DEXAMETHASONE,MK-5108,A2058,-7.296990031
DEXAMETHASONE,MK-8669,A2058,2.823677469
DEXAMETHASONE,MK-8669,A2058,0.111802469
DEXAMETHASONE,MK-8669,A2058,1.509114969
DEXAMETHASONE,MK-8669,A2058,6.175052469
DEXAMETHASONE,MK-8776,A2058,-9.105330031
DEXAMETHASONE,MK-8776,A2058,-10.95614253
DEXAMETHASONE,MK-8776,A2058,-7.655267531
DEXAMETHASONE,MK-8776,A2058,4.663732469
DEXAMETHASONE,PD325901,A2058,1.420303269
DEXAMETHASONE,PD325901,A2058,2.997303269
DEXAMETHASONE,PD325901,A2058,0.385303269
DEXAMETHASONE,PD325901,A2058,5.276678269
DEXAMETHASONE,SORAFENIB,A2058,8.426172469
DEXAMETHASONE,SORAFENIB,A2058,12.88023497
DEXAMETHASONE,SORAFENIB,A2058,9.640172469
DEXAMETHASONE,SORAFENIB,A2058,14.85035997
