drug_row,drug_col,cell_line_name,S
BORTEZOMIB,MK-8776,A2058,9.619
BORTEZOMIB,MK-8776,A2058,1.656
BORTEZOMIB,MK-8776,A2058,1.2125
BORTEZOMIB,OXALIPLATIN,A2058,35.3015
BORTEZOMIB,OXALIPLATIN,A2058,25.106
BORTEZOMIB,OXALIPLATIN,A2058,31.5985
BORTEZOMIB,OXALIPLATIN,A2058,33.233
BORTEZOMIB,SN-38,A2058,28.614
BORTEZOMIB,SN-38,A2058,30.204
BORTEZOMIB,SN-38,A2058,30.7815
BORTEZOMIB,SN-38,A2058,21.767
BORTEZOMIB,SORAFENIB,A2058,37.628
BORTEZOMIB,SORAFENIB,A2058,45.7435
BORTEZOMIB,SORAFENIB,A2058,47.57
BORTEZOMIB,SORAFENIB,A2058,44.6535
BORTEZOMIB,TOPOTECAN,A2058,-28.0635
BORTEZOMIB,TOPOTECAN,A2058,-20.792
BORTEZOMIB,TOPOTECAN,A2058,-31.6925
BORTEZOMIB,TOPOTECAN,A2058,-13.425
CARBOPLATIN,ABT-888,A2058,17.151
CARBOPLATIN,ABT-888,A2058,13.0065
CARBOPLATIN,ABT-888,A2058,12.3735
CARBOPLATIN,ABT-888,A2058,17.599
CARBOPLATIN,AZD1775,A2058,31.95
CARBOPLATIN,AZD1775,A2058,36.424
CARBOPLATIN,AZD1775,A2058,30.074
CARBOPLATIN,AZD1775,A2058,29.694
CARBOPLATIN,BEZ-235,A2058,-8.5585
CARBOPLATIN,BEZ-235,A2058,-5.942
CARBOPLATIN,BEZ-235,A2058,-8.9045
CARBOPLATIN,BEZ-235,A2058,-5.6665
CARBOPLATIN,BORTEZOMIB,A2058,2.508
CARBOPLATIN,BORTEZOMIB,A2058,6.36
CARBOPLATIN,BORTEZOMIB,A2058,6.6665
CARBOPLATIN,BORTEZOMIB,A2058,13.1165
CARBOPLATIN,DASATINIB,A2058,10.8805
CARBOPLATIN,DASATINIB,A2058,8.2275
CARBOPLATIN,DASATINIB,A2058,-2.4325
CARBOPLATIN,DASATINIB,A2058,12.713
CARBOPLATIN,DINACICLIB,A2058,18.258
CARBOPLATIN,DINACICLIB,A2058,12.305
CARBOPLATIN,DINACICLIB,A2058,14.3745
CARBOPLATIN,DINACICLIB,A2058,17.031
CARBOPLATIN,ERLOTINIB,A2058,44.9755
CARBOPLATIN,ERLOTINIB,A2058,39.6675
CARBOPLATIN,ERLOTINIB,A2058,23.2755
CARBOPLATIN,ERLOTINIB,A2058,38.7925
CARBOPLATIN,GELDANAMYCIN,A2058,6.373
CARBOPLATIN,GELDANAMYCIN,A2058,7.022
CARBOPLATIN,GELDANAMYCIN,A2058,6.119
CARBOPLATIN,GELDANAMYCIN,A2058,8.585
CARBOPLATIN,L778123,A2058,23.9695
CARBOPLATIN,L778123,A2058,30.804
CARBOPLATIN,L778123,A2058,15.3075
CARBOPLATIN,L778123,A2058,31.6375
CARBOPLATIN,LAPATINIB,A2058,27.5955
CARBOPLATIN,LAPATINIB,A2058,37.8965
CARBOPLATIN,LAPATINIB,A2058,23.611
CARBOPLATIN,LAPATINIB,A2058,23.611
CARBOPLATIN,MK-2206,A2058,44.293
CARBOPLATIN,MK-2206,A2058,23.8815
CARBOPLATIN,MK-2206,A2058,20.0145
CARBOPLATIN,MK-2206,A2058,24.806
CARBOPLATIN,MK-4827,A2058,-3.9485
CARBOPLATIN,MK-4827,A2058,-4.5975
CARBOPLATIN,MK-4827,A2058,-5.5595
CARBOPLATIN,MK-4827,A2058,-3.153
CARBOPLATIN,MK-5108,A2058,27.1355
CARBOPLATIN,MK-5108,A2058,18.8655
CARBOPLATIN,MK-5108,A2058,28.013
CARBOPLATIN,MK-5108,A2058,31.136
CARBOPLATIN,MK-8669,A2058,12.996
CARBOPLATIN,MK-8669,A2058,16.3595
CARBOPLATIN,MK-8669,A2058,4.0845
CARBOPLATIN,MK-8669,A2058,13.652
CARBOPLATIN,MK-8776,A2058,22.2615
CARBOPLATIN,MK-8776,A2058,19.059
CARBOPLATIN,MK-8776,A2058,19.964
CARBOPLATIN,MK-8776,A2058,17.465
CARBOPLATIN,PD325901,A2058,11.544
CARBOPLATIN,PD325901,A2058,7.8015
CARBOPLATIN,PD325901,A2058,12.385
CARBOPLATIN,PD325901,A2058,25.172
CARBOPLATIN,SORAFENIB,A2058,30.134
CARBOPLATIN,SORAFENIB,A2058,29.435
CARBOPLATIN,SORAFENIB,A2058,34.145
CARBOPLATIN,SORAFENIB,A2058,23.052
CARBOPLATIN,SUNITINIB,A2058,9.6665
CARBOPLATIN,SUNITINIB,A2058,8.456
CARBOPLATIN,SUNITINIB,A2058,10.757
CARBOPLATIN,SUNITINIB,A2058,6.5245
CARBOPLATIN,TEMOZOLOMIDE,A2058,-4.733
CARBOPLATIN,TEMOZOLOMIDE,A2058,-4.102
CARBOPLATIN,TEMOZOLOMIDE,A2058,-15.883
CARBOPLATIN,TEMOZOLOMIDE,A2058,-11.639
CARBOPLATIN,ZOLINZA,A2058,37.451
CARBOPLATIN,ZOLINZA,A2058,36.0445
CARBOPLATIN,ZOLINZA,A2058,36.9655
CARBOPLATIN,ZOLINZA,A2058,36.9125
CYCLOPHOSPHAMIDE,ABT-888,A2058,8.3695
CYCLOPHOSPHAMIDE,ABT-888,A2058,14.018
CYCLOPHOSPHAMIDE,ABT-888,A2058,19.1165
CYCLOPHOSPHAMIDE,ABT-888,A2058,7.3775
CYCLOPHOSPHAMIDE,AZD1775,A2058,25.5765
CYCLOPHOSPHAMIDE,AZD1775,A2058,23.394
CYCLOPHOSPHAMIDE,AZD1775,A2058,22.94
CYCLOPHOSPHAMIDE,AZD1775,A2058,32.76
CYCLOPHOSPHAMIDE,BEZ-235,A2058,5.919
CYCLOPHOSPHAMIDE,BEZ-235,A2058,4.623
CYCLOPHOSPHAMIDE,BEZ-235,A2058,10.017
CYCLOPHOSPHAMIDE,BEZ-235,A2058,4.2115
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,28.2425
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,15.067
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,31.6885
CYCLOPHOSPHAMIDE,BORTEZOMIB,A2058,33.7275
CYCLOPHOSPHAMIDE,DASATINIB,A2058,2.8065
CYCLOPHOSPHAMIDE,DASATINIB,A2058,6.908
CYCLOPHOSPHAMIDE,DASATINIB,A2058,3.6475
CYCLOPHOSPHAMIDE,DASATINIB,A2058,6.992
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,24.06
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,22.5055
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,23.451
CYCLOPHOSPHAMIDE,DINACICLIB,A2058,22.088
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,27.4425
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,22.1365
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,30.8935
CYCLOPHOSPHAMIDE,ERLOTINIB,A2058,25.566
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,10.5915
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,12.901
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,12.657
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A2058,9.7565
CYCLOPHOSPHAMIDE,L778123,A2058,12.0955
CYCLOPHOSPHAMIDE,L778123,A2058,13.4525
CYCLOPHOSPHAMIDE,L778123,A2058,16.892
CYCLOPHOSPHAMIDE,L778123,A2058,19.995
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,24.5575
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,21.544
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,28.118
CYCLOPHOSPHAMIDE,LAPATINIB,A2058,23.249
CYCLOPHOSPHAMIDE,MK-2206,A2058,22.991
CYCLOPHOSPHAMIDE,MK-2206,A2058,22.5535
CYCLOPHOSPHAMIDE,MK-2206,A2058,21.628
CYCLOPHOSPHAMIDE,MK-2206,A2058,20.654
CYCLOPHOSPHAMIDE,MK-4827,A2058,6.0205
CYCLOPHOSPHAMIDE,MK-4827,A2058,-1.564
CYCLOPHOSPHAMIDE,MK-4827,A2058,2.514
CYCLOPHOSPHAMIDE,MK-4827,A2058,1.145
CYCLOPHOSPHAMIDE,MK-5108,A2058,24.527
CYCLOPHOSPHAMIDE,MK-5108,A2058,30.0315
CYCLOPHOSPHAMIDE,MK-5108,A2058,29.873
CYCLOPHOSPHAMIDE,MK-5108,A2058,27.3915
CYCLOPHOSPHAMIDE,MK-8669,A2058,14.5455
CYCLOPHOSPHAMIDE,MK-8669,A2058,11.049
CYCLOPHOSPHAMIDE,MK-8669,A2058,12.47
CYCLOPHOSPHAMIDE,MK-8669,A2058,12.371
CYCLOPHOSPHAMIDE,MK-8776,A2058,2.307
CYCLOPHOSPHAMIDE,MK-8776,A2058,1.5765
CYCLOPHOSPHAMIDE,MK-8776,A2058,-4.038
CYCLOPHOSPHAMIDE,MK-8776,A2058,-1.9565
CYCLOPHOSPHAMIDE,PD325901,A2058,13.513
CYCLOPHOSPHAMIDE,PD325901,A2058,11.894
CYCLOPHOSPHAMIDE,PD325901,A2058,16.309
CYCLOPHOSPHAMIDE,PD325901,A2058,15.0295
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,49.155
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,57.9615
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,56.859
CYCLOPHOSPHAMIDE,SORAFENIB,A2058,58.707
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,15.869
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,15.749
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,18.0695
CYCLOPHOSPHAMIDE,SUNITINIB,A2058,14.2685
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,5.4815
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,3.4785
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,5.599
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,A2058,12.195
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,45.876
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,39.051
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,38.8595
CYCLOPHOSPHAMIDE,ZOLINZA,A2058,45.9785
DASATINIB,ABT-888,A2058,1.395
DASATINIB,ABT-888,A2058,0.4175
DASATINIB,ABT-888,A2058,-2.4275
DASATINIB,ABT-888,A2058,-2.2355
DASATINIB,BEZ-235,A2058,-4.149
DASATINIB,BEZ-235,A2058,-4.292
DASATINIB,BEZ-235,A2058,-2.6065
DASATINIB,BEZ-235,A2058,0.2855
DASATINIB,DINACICLIB,A2058,6.5375
DASATINIB,DINACICLIB,A2058,14.181
DASATINIB,DINACICLIB,A2058,15.902
DASATINIB,DINACICLIB,A2058,18.102
DASATINIB,GELDANAMYCIN,A2058,-12.801
DASATINIB,GELDANAMYCIN,A2058,-12.6805
DASATINIB,GELDANAMYCIN,A2058,-17.9435
DASATINIB,GELDANAMYCIN,A2058,-15.1835
DASATINIB,MK-8669,A2058,12.7075
DASATINIB,MK-8669,A2058,9.518
DASATINIB,MK-8669,A2058,16.7675
DASATINIB,MK-8669,A2058,12.039
DASATINIB,MK-8776,A2058,-7.013
DASATINIB,MK-8776,A2058,-2.0365
DASATINIB,MK-8776,A2058,-5.8955
DASATINIB,MK-8776,A2058,-2.405
DASATINIB,OXALIPLATIN,A2058,20.295
DASATINIB,OXALIPLATIN,A2058,22.6005
DASATINIB,OXALIPLATIN,A2058,18.156
DASATINIB,OXALIPLATIN,A2058,21.852
DASATINIB,SN-38,A2058,23.705
DASATINIB,SN-38,A2058,28.6065
DASATINIB,SN-38,A2058,27.603
DASATINIB,SN-38,A2058,10.8565
DASATINIB,SORAFENIB,A2058,47.641
DASATINIB,SORAFENIB,A2058,45.6225
DASATINIB,SORAFENIB,A2058,47.9575
DASATINIB,SORAFENIB,A2058,42.335
DASATINIB,TOPOTECAN,A2058,-21.8115
DASATINIB,TOPOTECAN,A2058,-12.1825
DASATINIB,TOPOTECAN,A2058,-7.8925
DASATINIB,TOPOTECAN,A2058,-23.6765
DEXAMETHASONE,ABT-888,A2058,3.547
DEXAMETHASONE,ABT-888,A2058,4.34
DEXAMETHASONE,ABT-888,A2058,2.606
DEXAMETHASONE,ABT-888,A2058,1.9375
DEXAMETHASONE,AZD1775,A2058,25.5275
DEXAMETHASONE,AZD1775,A2058,21.635
DEXAMETHASONE,AZD1775,A2058,14.118
DEXAMETHASONE,AZD1775,A2058,22.259
DEXAMETHASONE,BEZ-235,A2058,5.1865
DEXAMETHASONE,BEZ-235,A2058,15.8155
DEXAMETHASONE,BEZ-235,A2058,12.6265
DEXAMETHASONE,BEZ-235,A2058,5.4755
DEXAMETHASONE,BORTEZOMIB,A2058,26.531
DEXAMETHASONE,BORTEZOMIB,A2058,17.663
DEXAMETHASONE,BORTEZOMIB,A2058,37.974
DEXAMETHASONE,BORTEZOMIB,A2058,32.8755
DEXAMETHASONE,DASATINIB,A2058,5.998
DEXAMETHASONE,DASATINIB,A2058,4.125
DEXAMETHASONE,DASATINIB,A2058,7.087
DEXAMETHASONE,DASATINIB,A2058,4.8815
DEXAMETHASONE,DINACICLIB,A2058,14.0415
DEXAMETHASONE,DINACICLIB,A2058,19.649
DEXAMETHASONE,DINACICLIB,A2058,18.646
DEXAMETHASONE,DINACICLIB,A2058,11.649
DEXAMETHASONE,ERLOTINIB,A2058,29.871
DEXAMETHASONE,ERLOTINIB,A2058,35.867
DEXAMETHASONE,ERLOTINIB,A2058,31.7695
DEXAMETHASONE,ERLOTINIB,A2058,27.818
DEXAMETHASONE,GELDANAMYCIN,A2058,19.198
DEXAMETHASONE,GELDANAMYCIN,A2058,7.1065
DEXAMETHASONE,GELDANAMYCIN,A2058,11.8
DEXAMETHASONE,GELDANAMYCIN,A2058,17.553
DEXAMETHASONE,L778123,A2058,16.8555
DEXAMETHASONE,L778123,A2058,12.474
DEXAMETHASONE,L778123,A2058,9.2375
DEXAMETHASONE,L778123,A2058,17.0785
DEXAMETHASONE,LAPATINIB,A2058,31.1655
DEXAMETHASONE,LAPATINIB,A2058,34.2145
DEXAMETHASONE,LAPATINIB,A2058,29.6625
DEXAMETHASONE,LAPATINIB,A2058,27.2935
DEXAMETHASONE,MK-2206,A2058,26.2035
DEXAMETHASONE,MK-2206,A2058,26.194
DEXAMETHASONE,MK-2206,A2058,25.2325
DEXAMETHASONE,MK-2206,A2058,31.694
DEXAMETHASONE,MK-4827,A2058,-3.5075
DEXAMETHASONE,MK-4827,A2058,-4.939
DEXAMETHASONE,MK-4827,A2058,-12.141
DEXAMETHASONE,MK-4827,A2058,-13.451
DEXAMETHASONE,MK-5108,A2058,26.6475
DEXAMETHASONE,MK-5108,A2058,25.395
DEXAMETHASONE,MK-5108,A2058,24.6895
DEXAMETHASONE,MK-5108,A2058,31.0145
DEXAMETHASONE,MK-8669,A2058,11.5715
DEXAMETHASONE,MK-8669,A2058,12.968
DEXAMETHASONE,MK-8669,A2058,12.377
DEXAMETHASONE,MK-8669,A2058,13.8535
DEXAMETHASONE,MK-8776,A2058,-2.899
DEXAMETHASONE,MK-8776,A2058,-4.902
DEXAMETHASONE,MK-8776,A2058,-4.404
DEXAMETHASONE,MK-8776,A2058,3.946
DEXAMETHASONE,PD325901,A2058,20.2595
DEXAMETHASONE,PD325901,A2058,24.772
DEXAMETHASONE,PD325901,A2058,23.4425
DEXAMETHASONE,PD325901,A2058,26.0765
DEXAMETHASONE,SORAFENIB,A2058,57.768
DEXAMETHASONE,SORAFENIB,A2058,62.9905
DEXAMETHASONE,SORAFENIB,A2058,57.062
DEXAMETHASONE,SORAFENIB,A2058,52.327
DEXAMETHASONE,SUNITINIB,A2058,17.3425
DEXAMETHASONE,SUNITINIB,A2058,22.5375
DEXAMETHASONE,SUNITINIB,A2058,24.1675
DEXAMETHASONE,SUNITINIB,A2058,17.269
DEXAMETHASONE,TEMOZOLOMIDE,A2058,2.681
DEXAMETHASONE,TEMOZOLOMIDE,A2058,-8.4295
DEXAMETHASONE,TEMOZOLOMIDE,A2058,-9.771
DEXAMETHASONE,TEMOZOLOMIDE,A2058,-6.934
DEXAMETHASONE,ZOLINZA,A2058,45.9375
DEXAMETHASONE,ZOLINZA,A2058,41.8215
DEXAMETHASONE,ZOLINZA,A2058,39.373
DEXAMETHASONE,ZOLINZA,A2058,41.6785
DINACICLIB,MK-8776,A2058,-9.1805
DINACICLIB,MK-8776,A2058,-7.036
DINACICLIB,MK-8776,A2058,-9.631
DINACICLIB,MK-8776,A2058,-8.321
DOXORUBICIN,ABT-888,A2058,-10.9225
DOXORUBICIN,ABT-888,A2058,-12.5455
DOXORUBICIN,ABT-888,A2058,-9.346
DOXORUBICIN,ABT-888,A2058,-13.0095
DOXORUBICIN,AZD1775,A2058,-30.3725
DOXORUBICIN,AZD1775,A2058,-27.7815
DOXORUBICIN,AZD1775,A2058,-27.2055
DOXORUBICIN,AZD1775,A2058,-33.12
DOXORUBICIN,BEZ-235,A2058,-62.655
DOXORUBICIN,BEZ-235,A2058,-58.9655
DOXORUBICIN,BEZ-235,A2058,-58.207
DOXORUBICIN,BEZ-235,A2058,-60.033
